"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT04","WT06","WT08","WT11","WT13","WT14","WT16","WT17","WT18","WT19","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-15","11.63"," 0414"," 0201","0.00","0.0","5",,"37","25","  290","  280","28.0","38.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-16","4.70"," 1349"," 1314","0.00","0.0","4",,"48","26","  230","  260","16.1","25.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-17","4.25"," 0137"," 0052","0.00","0.0","2",,"63","46","  230","  240","13.0","17.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-18","7.16"," 2312"," 2311","0.00","0.0","0",,"67","46","  270","  280","23.0","36.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-19","15.88"," 1910"," 2055","0.00","0.0","0",,"54","23","  290","  300","31.1","47.0",,,,,,,,,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-20","8.72"," 0047"," 0251","0.00","0.0","0",,"40","21","  290","  300","21.9","31.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-21","8.28"," 2248"," 2247","0.34","3.2","3",,"37","24","   30","   40","17.9","25.1","    1","    1",,,"    1",,"    1",,,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-22","7.16"," 0134"," 0519","0.00","0.0","3",,"36","16","   40","  330","17.9","23.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-23","3.58"," 0034"," 0343","0.00","0.0","2",,"40","21","  340","   40","10.1","15.0",,,,,"    1",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-24","4.03"," 1500"," 1233","0.05","0.0","0",,"44","30","  150","  180","12.1","17.0","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-25",," 1533"," 1544","1.32","0.0","0",,"57","34","  270","  290","21.0","32.0","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-26",," 2046"," 2111","0.00","0.0","0",,"43","31","  150","  160","13.0","16.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-27","6.49"," 1031"," 1030","0.00","0.0","0",,"50","38","  300","  290","16.1","23.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-02-28","9.62"," 1917"," 1155","0.44","0.0","0",,"60","40","  300","  190","19.9","31.1","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-01","6.71"," 1033"," 0850","0.00","0.0","0",,"46","33","  350","  320","16.1","25.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-02","10.96"," 1931"," 1740","0.00","0.0","0",,"53","25","  290","  270","21.0","32.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-03","5.59"," 0026"," 0118","0.00","0.0","0",,"33","20","  330","  260","15.0","23.0",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-04","7.83"," 1729"," 1650","0.00","0.0","0",,"41","27","  150","  190","15.0","21.9",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-05","8.95"," 1423"," 1712","0.01","0.0","0",,"61","41","  180","  170","17.9","29.1",,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-06","8.50"," 2230"," 2059","2.02","0.0","0",,"54","50","  170","  150","17.9","33.1","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-07","10.29"," 1443"," 1300","0.08","0.0","0",,"53","34","  290","  300","21.0","31.1","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-08","4.70"," 0821"," 0949","0.00","0.0","0",,"48","29","  330","   30","13.0","16.1",,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-09","10.74"," 1733"," 1913","0.00","0.0","0",,"45","34","  110","   70","19.9","25.9",,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-10","10.74"," 2357"," 2333","1.07","0.0","0",,"53","38","  130","  140","23.0","40.9","    1",,,,"    1",,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-11","8.50"," 0120"," 0120","0.91","0.0","0",,"55","40","  140","  160","23.0","38.9","    1",,,,,,"    1",,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2011-03-12","8.28"," 0942"," 0142","0.00","0.0","0",,"56","38","  260","  270","17.0","23.0",,,,,,,,,,,,,
